epoch,step,test_log_prob,train_loss,val_loss
0,0,,1.0068541765213013,
0,1,,1.0080722570419312,
0,2,,1.01072096824646,
0,3,,0.9840590953826904,
0,4,,0.9909922480583191,
0,5,,1.0070618391036987,
0,6,,1.0000005960464478,
0,7,,0.9806302785873413,
0,8,,0.9820369482040405,
0,9,,1.0033624172210693,
0,10,,1.0057411193847656,
0,11,,1.0129966735839844,
0,12,,0.9924789667129517,
0,13,,0.996863603591919,
0,14,,1.0066890716552734,
0,15,,0.9937341213226318,
0,16,,0.9968935251235962,
0,17,,0.9828649759292603,
0,18,,0.9964318871498108,
0,19,,1.0157406330108643,
0,20,,0.9956212043762207,
0,21,,0.9937278628349304,
0,22,,0.99941486120224,
0,23,,1.01472806930542,
0,23,,,0.9980270862579346
1,24,,1.012792944908142,
1,25,,0.9863008856773376,
1,26,,1.000146508216858,
1,27,,1.0034582614898682,
1,28,,1.0025737285614014,
1,29,,0.9938144683837891,
1,30,,0.9910256266593933,
1,31,,0.9902642369270325,
1,32,,0.9955927133560181,
1,33,,1.0092436075210571,
1,34,,0.9838854074478149,
1,35,,1.0154192447662354,
1,36,,0.9872791171073914,
1,37,,0.9734549522399902,
1,38,,0.9774428606033325,
1,39,,0.9989892244338989,
1,40,,1.0020259618759155,
1,41,,1.0117030143737793,
1,42,,0.9829439520835876,
1,43,,0.9917356967926025,
1,44,,1.0066826343536377,
1,45,,1.0075957775115967,
1,46,,1.001088261604309,
1,47,,0.9538507461547852,
1,47,,,0.9946855306625366
2,48,,1.0132616758346558,
2,49,,0.9881877303123474,
2,50,,1.0009390115737915,
2,51,,0.99481201171875,
2,52,,0.9746680855751038,
2,53,,0.9820570349693298,
2,54,,1.0001806020736694,
2,55,,1.0112887620925903,
2,56,,1.0050204992294312,
2,57,,0.9916613101959229,
2,58,,1.0059361457824707,
2,59,,0.9912959337234497,
2,60,,0.9902170300483704,
2,61,,1.0006871223449707,
2,62,,0.9775135517120361,
2,63,,1.0010583400726318,
2,64,,1.012052059173584,
2,65,,0.9846118092536926,
2,66,,1.0015456676483154,
2,67,,0.9928222894668579,
2,68,,0.9970985054969788,
2,69,,1.013199806213379,
2,70,,0.9934266805648804,
2,71,,1.0349136590957642,
2,71,,,0.9924259185791016
3,72,,1.0134984254837036,
